full name,full name_label,alias,alias_label,account name,account name_label,social security number,social security number_label,national id number,national id number_label,passport number,passport number_label,drivers license number,drivers license number_label,government id number,government id number_label,certificate number,certificate number_label,medical record number,medical record number_label,bank account number,bank account number_label,credit card number,credit card number_label,debit card number,debit card number_label,email address,email address_label,phone number,phone number_label,fax number,fax number_label,physical address,physical address_label,geolocation data,geolocation data_label,ip address,ip address_label,device serial number,device serial number_label,mac address,mac address_label,Unnamed: 21,Unnamed: 21_label,Unnamed: 22,Unnamed: 22_label,Unnamed: 23,Unnamed: 23_label,Unnamed: 24,Unnamed: 24_label,Unnamed: 25,Unnamed: 25_label,Unnamed: 26,Unnamed: 26_label,Unnamed: 27,Unnamed: 27_label
DR. JOHN D'SOUZA BROWN MOREAU SMITH O'CONNOR GARCÍA,True,johndsouza_x,False,John D'Souza Account,True,,False,NID-3XKXWNRE,False,8PK3YR9,True,UDOCUZRE,False,,False,CERT-2006-687278,True,MRN-7242388,True,4828 1489,True,<script>alert('xss')</script>,False,masked: **** **** **** 5678,False,DR.JOHN.DSOUZA.BROWN.MOREAU.SMITH.OCONNOR.GARCÍA@SERVICE.NET,True,+33 8 16 96 93,True,+33 7 53 23 41,False,"8787 Elm St, Austin, NY 65296, USA
PO Box 3270, near the big, old, oak tree, behind the museum",True,"-6.726948,134.814943",True,3221:19e6:78e:2fc0:7906:5526:d015:,True,SN-7728339,True,6f1d.1fa0.1d19,True,,False,,False,,False,,False,,False,,False,,False
Emily-de la Cruz,True,emily-delacruz234,True,Emily-de_9,False,696-69-5426,True,NID-1EVUHT6T,False,UZS9IM0YL,False,Z9ATSN1U32,False,,False,CERT-2016-496172,True,MRN-4895134,True,7986872774,True,,False,masked: **** **** **** 5678,False,emilyde.la.cruz..y@mydomain.fr,True,-8289,False,,False,"8838 Main St, San Francisco, IL 39389, USA",True,"50.621949,54.631676",True,6.78.122.33,True,,False,c0:cb:65:26:7c:34,True,,False,,False,,False,,False,,False,,False,,False
Jane Schmidt,True,janeschmidt,True,corp:Jane Schmidt,True,053-33-7828,True,FR96499091334,False,4SCOSS3EO,False,M1H8OJRJED,False,,False,CERT-2019-785340,True,MRN-1746488,True,6746807154,True,,False,masked: **** **** **** 5678,False,jane.schmidt@sub.testmail.com,True,+33 7 15 50 70,True,(879) 867-3492 x508,True,"8230 Maple Drive, Seattle, IL 23154, USA",True,-10.744882;9.342391,True,127.0.0.1,True,,False,f9:12:23:78:93:74,True,,False,,False,,False,,False,,False,,False,,False
Linda Moreau,True,lindamoreau_01,False,Linda_60,True,000-00-0000,False,6.92618E+11,False,NE9NNOV,False,ARJI8QLH,False,GOV-793169,True,CERT-2004-015583,True,MRN-9502402,True,8.56985E+11,False,XXXX-XXXX-XXXX-0000,True,masked: **** **** **** 5678,False,linda.moreau@sub.mydomain.fr,True,-3307,False,,False,"5586 3rd St, New York, IL 50846, USA",True,"49.830412,24.33368",True,194.25.41.70,True,,False,f9:9d:17:70:ca:1c,True,,False,,False,,False,,False,,False,,False,,False
Jane Moreau,True,  janemoreau_x  ,False,corp:Jane Moreau,True,NID-FJWTZIFT,False,NID-K2C0XP2S,False,O8PT4MX23,False,Y670KMIQD4,False,GOV-489244,True,CERT-2022-886983,True,MRN-4124782,True,9.86143E+11,False,,False,masked: **** **** **** 5678,False,"""jane.moreau@8""@mydomain.fr",True,+33 3 73 98 73,False,,False,"8938 Maple Drive, Chicago, IL 23447, USA",True,Latitude: 28.96546; Longitude: -69.661492,True,114.179.228.11,True,SN-6914963,True,78:bb:b9:c4:10:4e,True,,False,,False,,False,,False,,False,,False,,False
ETHAN DUPONT,True,ethandupont,False,corp:ETHAN DUPONT,True,576-14-5229,True,2.59533E+11,False,XZXCZD9M,False,9SEY629RHI,False,redacted,False,CERT-2011-833511,True,MRN-2398680,True,55169409,True,**** **** **** 7020,False,6786527858549733,True,ethan.dupont+278@company.org,True,(830) 958-4920 x249,True,-5987,False,"6772 Oak Avenue, Chicago, TX 23178, USA",True,"{""lat"": -65.255934, ""lon"": 167.226756}",True,f38e:f474:661f::a470:9221:1e4a:2dcd,True,L0LCZ5LSCATG,False,e8fc.44ef.8b62,False,,False,,False,,False,,False,,False,,False,,False
JOHN WILLIAMS,True,johnwilliams123,False,JOHN_59,False,897-93-1849,True,FR39599534283,True,WY7U00,True,TYL84POT,False,,False,CERT-2025-485518,True,MRN-6882634,True,6785 445877,True,,False,masked: **** **** **** 5678,False,JOHN.WILLIAMS@testmail.com,True,-6707,False,,False,"3701 Elm St, Chicago, CA 95686, USA",True,26.981001;-168.593579,True,:4d6:57bf:2a55:ffed:de29:a99c:30d3,False,SN-8977571,True,537b.c7a9.c447,True,,False,,False,,False,,False,,False,,False,,False
Claire García,True,clairegarcía,True,corp:Claire García,True,343-56-9739,True,NID-QJ1YE24Z,False,8CX8FGPWK,False,#NAME?,False,,False,CERT-2007-535483,True,MRN-7567982,True,8673622660,True,**** **** **** 5577,False,6912513412528668,True,"""claire.garcía@8""@service.net",True,+33 1 38 47 14,True,,False,"191 Allée des Rosiers, Bâtiment 1 99788 Paris, France",True,7.567808;92.443047,True,346f:7ebc:986d:1080:e643:868f:b278:,True,,False,56:A5:95:94:88:30,True,,False,,False,,False,,False,,False,,False,,False
Chris Smith-Jones,True,chrissmith-jones284,False,Chris_78,False,869-85-4943,True,NID-6S601ZF8,True,RFTF6NJ,False,ZET1PDPF1H,False,GOV-575394,True,CERT-2009-698436,True,MRN-0202758,True,800030756,True,**** **** **** 7054,False,6493759738320609,True,chris.smithjones@sub.example.com,True,+33 7 19 85 82,False,,False,"5162 Pine Lane, Austin, IL 51688, USA",True,"{""lat"": -47.949979, ""lon"": 159.679687}",True,4f91:3618:5428:e62d:ee9e::d022:3dd1,True,SN-4483557,True,7f:b6:ca:19:99:85,True,,False,,False,,False,,False,,False,,False,,False
Grace Schmidt,True,graceschmidt,True,Grace Schmidt Account,True,590-50-5814,True,5.90599E+11,False,JH7XEXZ,False,VTUIK1,False,redacted,False,CERT-2020-332696,True,MRN-3926442,True,4331 5410,True,,False,**** **** **** 0618,True,"""grace.schmidt@5""@service.net",True,-5381,False,,False,"4316 3rd St, New York, IL 83956, USA",True,"45.402326,60.288645",True,999.999.999.999,True,SN-1582647,True,de:67:4b:84:a3:22,True,,False,,False,,False,,False,,False,,False,,False
